ID,NAMES,population,agriculteurs,artisans,cadres,intermediaires,employe,ouvrier,total
75101,Paris 1er Arrondissement,17443,19,763,5230,2134,1778,438,10362
75102,Paris 2e  Arrondissement,22927,7,832,7138,3052,2248,1169,14446
75103,Paris 3e  Arrondissement,36120,24,1326,11154,5003,3418,1160,22085
75104,Paris 4e  Arrondissement,27887,21,1036,7770,3578,2696,638,15739
75105,Paris 5e  Arrondissement,60800,28,1388,16527,6857,4671,1282,30753
75106,Paris 6e  Arrondissement,43880,61,1551,10687,4065,3414,897,20675
75107,Paris 7e  Arrondissement,57786,39,2196,14397,5230,4785,1412,28059
75108,Paris 8e  Arrondissement,40589,51,1656,10395,3811,3769,1106,20788
75109,Paris 9e  Arrondissement,60120,60,2116,17955,7752,5757,1925,35565
75110,Paris 10e  Arrondissement,94027,22,2585,23634,13075,11107,5597,56020
75111,Paris 11e  Arrondissement,154647,65,3918,40738,23681,17041,6699,92142
75112,Paris 12e  Arrondissement,144402,31,2897,36343,20388,15809,5565,81033
75113,Paris 13e  Arrondissement,183260,30,3335,37109,23741,23372,8060,95647
75114,Paris 14e  Arrondissement,140317,44,2669,33942,17247,14864,4623,73389
75115,Paris 15e  Arrondissement,238395,107,5120,63059,29743,23334,7166,128529
75116,Paris 16e  Arrondissement,169942,198,6485,37053,15406,14405,3527,77074
75117,Paris 17e  Arrondissement,170174,100,5005,43538,20446,17728,6611,93428
75118,Paris 18e  Arrondissement,203127,60,4886,41525,27914,26481,13791,114657
75119,Paris 19e  Arrondissement,186090,35,4346,28736,24726,26619,11389,95851
75120,Paris 20e  Arrondissement,198042,17,3926,34351,28087,27702,12790,106873
77001,Acheres-la-Foret,1232,12,48,147,135,143,91,576
77002,Amillis,781,4,15,31,108,143,74,375
77003,Amponville,388,4,28,44,52,64,32,224
77004,Andrezel,299,12,20,40,28,28,24,152
77005,Annet-sur-Marne,3229,0,128,424,564,404,252,1772
77006,Arbonne-la-Foret,1025,4,36,96,128,128,32,424
77007,Argentieres,395,0,4,37,83,50,45,219
77008,Armentieres-en-Brie,1399,0,12,57,166,146,101,482
77009,Arville,127,4,8,4,16,20,16,68
77010,Aubepierre-Ozouer-le-Repos,895,8,45,49,130,102,134,468
77011,Aufferville,547,16,20,44,91,71,60,302
77012,Augers-en-Brie,304,4,16,16,44,24,56,160
77013,Aulnoy,386,0,4,40,44,52,64,204
77014,Avon,14084,0,193,1483,1917,2079,1074,6746
77015,Baby,94,4,0,4,12,8,8,36
77016,Bagneaux-sur-Loing,1695,0,24,44,88,314,334,804
77018,Bailly-Romainvilliers,6884,0,156,824,1180,1324,412,3896
77019,Balloy,325,8,12,20,37,37,49,163
77020,Bannost-Villegagnon,649,12,19,39,123,85,93,371
77021,Barbey,195,0,8,0,25,29,37,99
77022,Barbizon,1357,12,73,125,161,113,81,565
77023,Barcy,249,0,11,7,51,25,29,123
77024,Bassevelle,349,4,16,45,37,45,37,184
77025,Bazoches-les-Bray,826,8,33,33,85,126,114,399
77026,Beauchery-Saint-Martin,411,12,8,20,52,68,40,200
77027,Beaumont-du-Gatinais,1159,16,44,40,88,164,116,468
77028,Beautheil,724,12,16,71,94,126,59,378
77029,Beauvoir,194,0,4,21,29,29,33,116
77030,Bellot,799,8,8,61,110,115,115,417
77031,Bernay-Vilbert,843,20,32,85,113,109,85,444
77032,Beton-Bazoches,812,19,30,33,59,104,138,383
77033,Bezalles,236,11,0,15,26,37,34,123
77034,Blandy,735,4,37,95,137,70,37,380
77035,Blennes,566,0,29,68,103,68,28,296
77036,Boisdon,97,9,4,0,0,22,13,48
77037,Bois-le-Roi,5649,0,167,1044,829,442,190,2672
77038,Boissettes,463,0,20,72,60,32,20,204
77039,Boissise-la-Bertrand,1068,0,23,148,152,95,53,471
77040,Boissise-le-Roi,3616,0,119,358,481,399,261,1618
77041,Boissy-aux-Cailles,311,20,8,48,44,44,4,168
77042,Boissy-le-Chatel,3110,0,72,152,453,480,356,1513
77043,Boitron,396,4,16,28,44,69,48,209
77044,Bombon,860,0,8,64,144,120,72,408
77045,Bougligny,720,4,43,43,83,95,95,363
77046,Boulancourt,370,4,24,16,63,47,39,193
77047,Bouleurs,1453,16,44,121,202,210,145,738
77048,Bourron-Marlotte,2683,8,134,217,305,269,194,1127
77049,Boutigny,878,4,52,68,116,144,84,468
77050,Bransles,519,8,16,29,29,70,74,226
77051,Bray-sur-Seine,2427,0,47,41,180,308,358,934
77052,Breau,346,0,8,54,50,58,31,201
77053,Brie-Comte-Robert,16075,13,397,1285,2452,2475,1644,8266
77054,La Brosse-Montceaux,727,4,0,16,128,99,111,358
77055,Brou-sur-Chantereine,4324,0,83,206,635,760,453,2137
77056,Burcy,152,4,4,0,19,26,11,64
77057,Bussieres,461,0,16,4,48,80,72,220
77058,Bussy-Saint-Georges,25135,12,604,4001,4292,3858,1340,14107
77059,Bussy-Saint-Martin,726,0,16,92,164,88,48,408
77060,Buthiers,756,8,40,32,92,100,136,408
77061,Cannes-Ecluse,2540,4,56,100,392,324,300,1176
77062,Carnetin,488,0,30,93,59,51,21,254
77063,La Celle-sur-Morin,1269,0,36,112,252,188,136,724
77065,Cely,1226,0,45,191,145,116,87,584
77066,Cerneux,311,8,12,8,44,28,28,128
77067,Cesson,9092,9,136,1005,1642,1000,472,4264
77068,Cessoy-en-Montois,214,0,8,8,20,28,12,76
77069,Chailly-en-Biere,1974,28,63,195,297,207,233,1023
77070,Chailly-en-Brie,1443,0,60,68,211,171,203,713
77071,Chaintreaux,917,12,20,41,155,130,122,480
77072,Chalautre-la-Grande,698,16,31,35,59,98,78,317
77073,Chalautre-la-Petite,579,4,16,51,82,70,51,274
77075,Chalifert,1234,0,36,136,216,164,128,680
77076,Chalmaison,745,0,12,32,69,126,101,340
77077,Chambry,920,4,12,51,132,167,109,475
77078,Chamigny,1300,0,16,97,189,201,99,602
77079,Champagne-sur-Seine,6499,0,117,276,742,1184,908,3227
77080,Champcenest,147,22,0,9,0,22,9,62
77081,Champdeuil,662,0,15,48,123,141,56,383
77082,Champeaux,810,0,13,59,97,101,72,342
77083,Champs-sur-Marne,24499,3,505,2573,3627,4107,1968,12783
77084,Changis-sur-Marne,1084,0,39,114,161,176,74,564
77085,Chanteloup-en-Brie,2403,0,45,282,437,359,141,1264
77086,La Chapelle-Gauthier,1491,0,37,66,266,228,195,792
77087,La Chapelle-Iger,157,4,8,12,28,16,12,80
77088,La Chapelle-la-Reine,2567,12,61,150,304,486,288,1301
77089,La Chapelle-Rablais,962,0,20,78,156,148,98,500
77090,La Chapelle-Saint-Sulpice,220,0,4,15,27,62,27,135
77091,Les Chapelles-Bourbon,413,4,12,53,74,45,41,229
77093,La Chapelle-Moutils,412,4,20,12,68,56,52,212
77094,Charmentray,266,0,12,16,32,47,47,154
77095,Charny,1225,4,12,71,259,216,133,695
77096,Chartrettes,2573,8,115,360,419,209,126,1237
77097,Chartronges,285,8,4,8,27,62,27,136
77098,Chateaubleau,338,0,12,28,36,44,40,160
77099,Chateau-Landon,3125,12,68,128,280,452,332,1272
77100,Le Chatelet-en-Brie,4413,8,83,275,776,632,456,2230
77101,Chatenay-sur-Seine,955,8,20,40,136,140,140,484
77102,Chatenoy,155,0,4,7,26,22,22,81
77103,Chatillon-la-Borde,217,0,8,36,20,28,16,108
77104,Chatres,593,4,34,57,133,80,42,350
77106,Chauffry,1021,0,58,54,140,152,119,523
77107,Chaumes-en-Brie,3045,4,145,206,462,395,399,1611
77108,Chelles,52817,14,1149,4439,7550,8207,4524,25883
77109,Chenoise,1289,8,36,44,111,239,191,629
77110,Chenou,313,21,8,12,17,66,46,170
77111,Chessy,4355,0,79,632,715,769,318,2513
77112,Chevrainvilliers,223,8,8,16,32,16,16,96
77113,Chevru,1081,12,40,44,88,180,128,492
77114,Chevry-Cossigny,3897,4,89,419,607,533,310,1962
77115,Chevry-en-Sereine,507,8,40,28,68,72,40,256
77116,Choisy-en-Brie,1356,16,51,83,158,146,134,588
77117,Citry,808,12,32,40,72,112,108,376
77118,Claye-Souilly,11122,6,314,1017,1970,1680,902,5889
77119,Clos-Fontaine,265,0,4,8,37,46,67,162
77120,Cocherel,614,0,4,33,84,113,92,326
77121,Collegien,3099,0,91,340,584,486,284,1785
77122,Combs-la-Ville,21908,6,316,1895,3431,3471,2087,11206
77123,Compans,723,4,17,46,104,96,104,371
77124,Conches-sur-Gondoire,1735,0,44,283,251,132,84,794
77125,Conde-Sainte-Libiaire,1416,0,72,179,223,183,64,721
77126,Congis-sur-Therouanne,1765,8,40,84,316,232,188,868
77127,Coubert,1962,0,41,114,322,302,194,973
77128,Couilly-Pont-aux-Dames,2155,0,82,201,254,299,160,996
77129,Coulombs-en-Valois,625,28,8,36,64,76,88,300
77130,Coulommes,409,8,12,24,65,57,45,211
77131,Coulommiers,14622,9,255,542,1603,2513,1899,6821
77132,Coupvray,2656,4,83,273,454,417,167,1398
77133,Courcelles-en-Bassee,234,8,0,20,47,27,12,114
77134,Courchamp,153,0,4,12,12,20,8,56
77135,Courpalay,1413,4,52,111,151,190,214,722
77136,Courquetaine,201,8,4,36,32,20,8,108
77137,Courtacon,215,3,11,7,31,31,28,111
77138,Courtomer,535,0,16,78,86,78,53,311
77139,Courtry,6280,0,212,553,1047,843,534,3189
77140,Coutencon,289,0,8,8,32,53,61,162
77141,Coutevroult,996,8,29,102,176,151,98,564
77142,Crecy-la-Chapelle,4250,12,140,464,644,640,404,2304
77143,Cregy-les-Meaux,4339,0,56,268,720,848,476,2368
77144,Crevecoeur-en-Brie,303,0,16,8,32,36,57,149
77145,Crisenoy,624,0,16,44,83,99,75,317
77146,Croissy-Beaubourg,1988,0,63,283,299,241,66,952
77147,La Croix-en-Brie,669,12,24,24,76,103,91,330
77148,Crouy-sur-Ourcq,1745,0,28,92,255,263,263,901
77149,Cucharmoy,237,0,8,13,42,29,42,134
77150,Cuisy,439,0,8,36,60,76,48,228
77151,Dagny,337,0,0,16,32,61,44,153
77152,Dammarie-les-Lys,20661,3,446,1073,2382,3170,2661,9735
77153,Dammartin-en-Goele,8258,0,183,647,1484,1305,784,4403
77154,Dammartin-sur-Tigeaux,913,0,33,119,148,160,45,505
77155,Dampmart,3179,4,76,276,428,424,324,1532
77156,Darvault,818,0,23,59,121,117,63,383
77157,Dhuisy,281,12,4,24,37,24,8,109
77158,Diant,196,13,4,13,38,29,21,118
77159,Donnemarie-Dontilly,2838,12,58,105,246,421,339,1181
77161,Dormelles,862,13,46,118,126,67,34,404
77162,Doue,1009,24,24,64,164,152,88,516
77163,Douy-la-Ramee,301,0,4,31,35,46,31,147
77164,Echouboulains,505,8,8,23,86,55,67,247
77165,Les Ecrennes,608,0,32,36,92,145,72,377
77166,Ecuelles,2443,8,48,152,368,360,240,1176
77167,Egligny,311,8,8,4,28,60,40,148
77168,Egreville,2182,12,89,93,199,333,284,1010
77169,Emerainville,7253,0,134,753,1384,1209,709,4189
77170,Episy,527,0,15,80,103,69,34,301
77171,Esbly,5882,0,125,650,1026,979,403,3183
77172,Esmans,889,12,12,44,89,173,113,443
77173,Etrepilly,848,4,24,40,132,148,128,476
77174,Everly,592,0,16,16,60,108,84,284
77175,Evry-Gregy-sur-Yerre,2485,15,151,317,325,313,135,1256
77176,Faremoutiers,2465,8,59,162,379,419,277,1304
77177,Favieres,1101,4,52,116,176,112,112,572
77178,Fay-les-Nemours,486,8,29,46,50,50,46,229
77179,Fericy,582,4,20,106,79,59,27,295
77180,Ferolles-Attilly,1135,4,35,141,165,173,82,600
77181,Ferrieres-en-Brie,2243,8,82,259,416,267,176,1208
77182,La Ferte-Gaucher,4557,8,112,64,332,680,608,1804
77183,La Ferte-sous-Jouarre,9222,8,220,448,1035,1707,1016,4434
77184,Flagy,645,4,12,61,77,81,73,308
77185,Fleury-en-Biere,639,4,28,76,72,68,64,312
77186,Fontainebleau,14708,10,418,1874,1724,1642,745,6413
77187,Fontaine-Fourches,595,12,56,24,36,92,64,284
77188,Fontaine-le-Port,939,8,28,124,160,84,56,460
77190,Fontains,253,13,8,13,42,25,8,109
77191,Fontenailles,1062,0,32,96,164,140,108,540
77192,Fontenay-Tresigny,5218,20,180,322,663,820,620,2625
77193,Forfry,271,0,20,24,36,40,28,148
77194,Forges,413,8,12,16,48,70,66,220
77195,Fouju,562,0,12,31,89,113,58,303
77196,Fresnes-sur-Marne,657,4,8,72,116,92,92,384
77197,Fretoy,155,4,4,12,16,32,4,72
77198,Fromont,212,4,8,32,24,16,12,96
77199,Fublaines,1167,0,41,110,150,191,130,622
77200,Garentreville,103,16,8,4,8,19,8,63
77201,Gastins,684,4,20,43,113,149,102,431
77202,La Genevraye,622,0,28,68,88,68,76,328
77203,Germigny-l'Eveque,1357,0,60,128,172,176,116,652
77204,Germigny-sous-Coulombs,203,12,0,8,43,8,27,98
77205,Gesvres-le-Chapitre,165,0,0,17,25,33,8,83
77206,Giremoutiers,146,4,8,16,12,12,4,56
77207,Gironville,170,4,17,0,8,30,4,63
77208,Gouaix,1446,16,32,24,151,251,199,673
77209,Gouvernes,1101,0,44,146,190,103,79,562
77210,La Grande-Paroisse,2610,4,49,149,382,402,261,1247
77211,Grandpuits-Bailly-Carrois,1007,4,20,44,156,156,144,524
77212,Gravon,145,0,0,8,27,8,19,62
77214,Gressy,902,0,29,131,123,139,33,455
77215,Gretz-Armainvilliers,8066,0,142,461,1068,1218,1098,3987
77216,Grez-sur-Loing,1424,0,41,73,179,236,151,680
77217,Grisy-Suisnes,2395,16,109,239,392,328,206,1290
77218,Grisy-sur-Seine,100,0,4,4,4,11,19,42
77219,Guerard,2250,12,100,237,434,233,149,1165
77220,Guercheville,284,8,20,20,60,36,20,164
77221,Guermantes,1217,0,42,226,201,150,88,707
77222,Guignes,3364,0,88,132,481,673,385,1759
77223,Gurcy-le-Chatel,581,4,16,40,80,60,36,236
77224,Hautefeuille,315,0,4,24,32,32,76,168
77225,La Haute-Maison,363,8,20,4,49,69,56,206
77226,Hericy,2538,0,68,306,362,287,168,1191
77227,Herme,624,4,16,35,47,97,85,284
77228,Hondevilliers,240,12,12,20,24,48,12,128
77229,La Houssaye-en-Brie,1618,28,64,163,243,215,159,872
77230,Ichy,173,8,11,11,34,11,23,98
77231,Isles-les-Meldeuses,776,0,20,32,83,151,111,397
77232,Isles-les-Villenoy,911,4,36,69,157,129,85,480
77233,Iverny,585,12,20,32,72,120,72,328
77234,Jablines,650,4,20,55,110,95,71,355
77235,Jaignes,291,4,4,38,42,42,25,155
77236,Jaulnes,357,0,0,24,40,36,77,177
77237,Jossigny,632,4,48,52,96,88,64,352
77238,Jouarre,4184,32,76,201,535,680,430,1954
77239,Jouy-le-Chatel,1469,19,50,103,176,241,180,769
77240,Jouy-sur-Morin,2171,12,53,53,215,320,369,1022
77241,Juilly,2189,8,28,73,248,382,301,1040
77242,Jutigny,560,4,16,21,66,78,70,255
77243,Lagny-sur-Marne,20306,7,450,1992,3094,2930,2102,10575
77244,Larchant,751,8,32,84,108,92,44,368
77245,Laval-en-Brie,462,8,12,4,49,49,86,208
77246,Lechelle,563,4,0,32,97,44,81,258
77247,Lescherolles,482,0,28,36,52,52,72,240
77248,Lesches,701,0,20,93,129,73,32,347
77249,Lesigny,7429,8,320,965,1037,949,316,3595
77250,Leudon-en-Brie,164,4,4,0,20,36,12,76
77251,Lieusaint,10441,3,209,742,1760,1987,1066,5767
77252,Limoges-Fourches,469,0,29,29,74,79,45,256
77253,Lissy,196,0,4,4,50,29,25,112
77254,Liverdy-en-Brie,1298,0,65,114,212,155,114,660
77255,Livry-sur-Seine,1927,0,40,124,304,236,128,832
77256,Lizines,174,4,0,8,16,31,27,86
77257,Lizy-sur-Ourcq,3621,8,56,112,317,614,569,1676
77258,Lognes,14410,0,328,1191,1997,3043,1626,8185
77259,Longperrier,2464,4,52,183,426,490,251,1406
77260,Longueville,1760,4,8,65,196,257,212,742
77261,Lorrez-le-Bocage-Preaux,1252,23,23,59,113,195,129,542
77262,Louan-Villegruis-Fontaine,520,12,28,28,53,61,49,231
77263,Luisetaines,238,8,8,33,29,4,25,107
77264,Lumigny-Nesles-Ormeaux,1519,24,60,116,252,232,124,808
77265,Luzancy,1073,0,28,60,112,252,104,556
77266,Machault,739,0,21,58,146,125,92,442
77267,La Madeleine-sur-Loing,332,0,19,12,39,35,43,148
77268,Magny-le-Hongre,6580,0,172,996,1024,1332,364,3888
77269,Maincy,1691,0,40,195,274,179,151,839
77270,Maisoncelles-en-Brie,855,16,56,87,115,68,36,378
77271,Maisoncelles-en-Gatinais,134,8,4,4,13,13,17,59
77272,Maison-Rouge,893,12,29,45,128,107,140,461
77273,Marchemoret,548,8,0,32,120,80,56,296
77274,Marcilly,446,0,4,38,59,50,67,218
77275,Les Marets,154,8,4,8,4,16,8,48
77276,Mareuil-les-Meaux,2241,0,57,237,331,274,221,1120
77277,Marles-en-Brie,1443,8,48,84,292,148,128,708
77278,Marolles-en-Brie,395,0,16,24,71,63,32,206
77279,Marolles-sur-Seine,1609,0,52,72,207,255,147,733
77280,Mary-sur-Marne,1207,8,44,40,183,175,131,581
77281,Mauperthuis,493,0,16,59,107,47,75,304
77282,Mauregard,317,0,4,0,73,65,57,199
77283,May-en-Multien,899,0,8,40,116,152,144,460
77284,Meaux,52225,16,845,2548,5941,9329,6427,25106
77285,Le Mee-sur-Seine,20693,0,306,788,2388,3642,2712,9836
77286,Meigneux,236,4,23,19,31,35,8,120
77287,Meilleray,511,8,12,12,44,72,76,224
77288,Melun,39497,8,556,2950,4841,7060,4702,20117
77289,Melz-sur-Seine,371,29,33,0,33,53,45,193
77290,Mery-sur-Marne,627,0,16,66,97,105,62,346
77291,Le Mesnil-Amelot,851,0,12,36,124,152,120,444
77292,Messy,1097,4,20,102,181,185,87,579
77293,Misy-sur-Yonne,983,0,25,36,153,113,73,400
77294,Mitry-Mory,18828,7,419,1032,2662,3035,2247,9402
77295,Moisenay,1238,0,56,84,184,168,120,612
77296,Moissy-Cramayel,17243,0,249,1069,2497,3282,1929,9026
77297,Mondreville,363,20,16,16,44,76,76,248
77298,Mons-en-Montois,482,0,8,49,37,53,73,220
77299,Montarlot,225,0,4,12,46,19,31,112
77300,Montceaux-les-Meaux,607,4,28,60,76,76,56,300
77301,Montceaux-les-Provins,333,4,19,12,23,70,39,167
77302,Montcourt-Fromonville,2073,4,28,153,306,343,161,995
77303,Montdauphin,234,4,8,8,16,24,41,101
77304,Montenils,34,0,0,0,0,9,9,18
77305,Montereau-Fault-Yonne,16573,5,226,428,1320,2317,2305,6601
77306,Montereau-sur-le-Jard,556,8,12,51,130,63,55,319
77307,Montevrain,8950,8,206,1226,1708,1820,567,5535
77308,Montge-en-Goele,693,4,16,68,101,97,60,346
77309,Monthyon,1644,0,48,112,276,296,156,888
77310,Montigny-le-Guesdier,298,0,12,12,28,55,48,155
77311,Montigny-Lencoup,1283,0,12,60,180,176,120,548
77312,Montigny-sur-Loing,2791,0,89,358,345,359,224,1375
77313,Montmachoux,233,4,8,24,28,36,20,120
77314,Montolivet,243,12,4,12,20,40,52,140
77315,Montry,3343,0,98,379,530,404,238,1649
77316,Moret-sur-Loing,4318,0,72,434,611,607,259,1983
77317,Mormant,4433,4,40,162,583,752,626,2167
77318,Mortcerf,1455,0,52,131,206,266,91,746
77319,Mortery,171,4,4,4,9,26,30,77
77320,Mouroux,4997,12,137,294,736,752,466,2397
77321,Mousseaux-les-Bray,707,15,11,19,92,96,88,321
77322,Moussy-le-Neuf,2935,16,72,258,549,403,295,1593
77323,Moussy-le-Vieux,987,0,16,36,236,172,116,576
77325,Mouy-sur-Seine,360,4,8,0,36,67,48,163
77326,Nandy,5851,0,107,473,894,1022,568,3064
77327,Nangis,8165,12,121,328,829,1348,1064,3702
77328,Nanteau-sur-Essonne,434,0,19,31,77,46,31,204
77329,Nanteau-sur-Lunain,679,12,16,40,81,57,32,238
77330,Nanteuil-les-Meaux,5454,4,151,418,840,873,522,2808
77331,Nanteuil-sur-Marne,478,0,4,20,48,89,61,222
77332,Nantouillet,267,0,8,8,68,24,36,144
77333,Nemours,12822,11,250,508,1111,1929,1712,5521
77335,Chauconin-Neufmontiers,2754,4,66,123,356,307,143,999
77336,Neufmoutiers-en-Brie,972,4,34,92,177,189,92,588
77337,Noisiel,15786,0,247,1345,2019,2563,1512,7686
77338,Noisy-Rudignon,599,0,20,33,74,94,74,295
77339,Noisy-sur-Ecole,2020,0,129,295,291,170,61,946
77340,Nonville,613,4,32,32,109,93,73,343
77341,Noyen-sur-Seine,370,0,21,17,54,58,50,200
77342,Obsonville,100,8,4,0,25,21,12,70
77343,Ocquerre,426,13,0,21,59,63,49,205
77344,Oissery,2124,0,28,128,355,387,279,1177
77345,Orly-sur-Morin,672,4,28,40,84,88,80,324
77347,Les Ormes-sur-Voulzie,837,0,20,28,133,137,52,370
77348,Ormesson,284,0,8,20,44,36,16,124
77349,Othis,6458,8,44,456,1224,920,656,3308
77350,Ozoir-la-Ferriere,20123,3,581,2144,2877,2669,1874,10148
77352,Ozouer-le-Voulgis,1815,8,68,112,308,332,156,984
77353,Paley,443,0,20,48,56,64,16,204
77354,Pamfou,936,4,28,47,173,122,103,477
77355,Paroy,180,8,16,4,16,28,24,96
77356,Passy-sur-Seine,47,4,4,0,0,7,18,33
77357,Pecy,819,8,36,40,88,120,104,396
77358,Penchard,1055,4,37,65,151,126,130,513
77359,Perthes,2127,4,140,236,292,204,144,1020
77360,Pezarches,395,16,12,23,66,55,35,207
77361,Pierre-Levee,473,4,20,32,79,91,51,277
